,0
0,Arizona
1,Connecticut
2,Georgia
3,Idaho
4,Illinois
5,Indiana
6,Iowa
7,Kansas
8,Kentucky
9,Louisiana
10,Maine
11,Massachusetts
12,Michigan
13,Minnesota
14,Mississippi
15,Missouri
16,Montana
17,Nebraska
18,Nevada
19,New Hampshire
20,New Jersey
21,North Carolina
22,North Dakota
23,Oklahoma
24,Oregon
25,Pennsylvania
26,Rhode Island
27,South Carolina
28,South Dakota
29,Tennessee
30,Vermont
31,Virginia
32,West Virginia
33,Wisconsin
34,Wyoming
